id,name,ac_id,ac_name,pc_id,pc_name,district
25,Sunkadakatte,155,Dasarahalli,24,"Bangalore North",Bangalore Urban
26,"Dodda Bidarakallu",153,Yeshvanthapura,24,"Bangalore North",Bangalore Urban
27,Lingadheeranahalli,153,Yeshvanthapura,24,"Bangalore North",Bangalore Urban
28,Herohalli,153,Yeshvanthapura,24,"Bangalore North",Bangalore Urban
29,Ullalu,153,Yeshvanthapura,24,"Bangalore North",Bangalore Urban
3,Atturu,150,Yelahanka,27,Chikballapur,Bangalore Urban
30,Nagadevanahalli,153,Yeshvanthapura,24,"Bangalore North",Bangalore Urban
31,"Bande Mutt",153,Yeshvanthapura,24,"Bangalore North",Bangalore Urban
32,Kengeri,153,Yeshvanthapura,24,"Bangalore North",Bangalore Urban
33,Hemmigepura,153,Yeshvanthapura,24,"Bangalore North",Bangalore Urban
34,"JP Park",154,"Rajarajeshwari Nagar",23,"Bangalore Rural"
35,Yeshwanthpura,154,"Rajarajeshwari Nagar",23,"Bangalore Rural"
36,Jalahalli,154,"Rajarajeshwari Nagar",23,"Bangalore Rural"
37,Peenya,154,"Rajarajeshwari Nagar",23,"Bangalore Rural"
38,"Laxmidevi Nagar",154,"Rajarajeshwari Nagar",23,"Bangalore Rural"
39,Laggere,154,"Rajarajeshwari Nagar",23,"Bangalore Rural"
4,"Yelahanka Satellite Town",150,Yelahanka,27,Chikballapur,Bangalore Urban
40,"Chowdeshwari Nagar",154,"Rajarajeshwari Nagar",23,"Bangalore Rural"
41,Kottegepalya,154,"Rajarajeshwari Nagar",23,"Bangalore Rural"
42,Srigandhadakaval,154,"Rajarajeshwari Nagar",23,"Bangalore Rural"
43,Malathalli,154,"Rajarajeshwari Nagar",23,"Bangalore Rural"
44,"Jnana Bharathi ward",154,"Rajarajeshwari Nagar",23,"Bangalore Rural"
45,"Rajarajeshwari Nagar",154,"Rajarajeshwari Nagar",23,"Bangalore Rural"
46,"Rajiv Nagar",156,"Mahalaxmi Layout",24,"Bangalore North"
47,"Dr. Puneet Rajkumar",156,"Mahalaxmi Layout",24,"Bangalore North"
48,Mahalakshmipuram,156,"Mahalaxmi Layout",24,"Bangalore North"
49,Nagapura,156,"Mahalaxmi Layout",24,"Bangalore North"
5,Kogilu,152,Byatarayanapura,24,"Bangalore North",Bangalore Urban
50,"Nalvadi Krishna Raja Wadiyar",156,"Mahalaxmi Layout",24,"Bangalore North"
